user_name,review_text,rating,label,cleaned_review_text,tokenized_review,review_length,all_caps_ratio,sentiment,relevancy_score,emotions
Amber Thibeault,Andrea is amazing. Our dog loves her and she always looks amazing after Andrea works her magic!,5,Irrelevant,andrea is amazing our dog loves her and she always looks amazing after andrea works her magic,"['andrea', 'amazing', 'dog', 'loves', 'looks', 'amazing', 'andrea', 'works', 'magic']",9,0.0,POSITIVE,48,admiration
Esther,"Andrea does a wonderful  job  with our wild Princess. Thank  you Andrea, you are the best.",5,Irrelevant,andrea does a wonderful  job  with our wild princess thank  you andrea you are the best,"['andrea', 'wonderful', ' ', 'job', ' ', 'wild', 'princess', 'thank', ' ', 'andrea', 'best']",11,0.0,POSITIVE,47,"admiration, gratitude"
Bob Barrett,Never called back,1,Rant,never called back,['called'],1,0.0,POSITIVE,41,neutral
Luz Quiles,They don't answer the phones,3,Rant,they dont answer the phones,"['nt', 'answer', 'phones']",3,0.0,NEGATIVE,42,neutral
Tim Sanderson,Limited information on the website,3,Irrelevant,limited information on the website,"['limited', 'information', 'website']",3,0.0,NEGATIVE,42,neutral
Ellen Nastir,Leigh-Ann is an incredibly creative facilitator and genuinely cares about those in her community. She offers her expertise freely and always shares ideas you can modify to fit the needs of your team. I enjoy her giving spirit and she is the real deal!,5,Valid,leighann is an incredibly creative facilitator and genuinely cares about those in her community she offers her expertise freely and always shares ideas you can modify to fit the needs of your team i enjoy her giving spirit and she is the real deal,"['leighann', 'incredibly', 'creative', 'facilitator', 'genuinely', 'cares', 'community', 'offers', 'expertise', 'freely', 'shares', 'ideas', 'modify', 'fit', 'needs', 'team', 'enjoy', 'giving', 'spirit', 'real', 'deal']",21,0.022727272727272728,POSITIVE,61,admiration
Jinnie Lee Schmid,"Leigh Ann Rodgers is THE undisputed expert in team and individual performance. She's excellent when she's personally delivering team-building workshops and when coaching individual employees, mid-managers and executives. And, she's also amazing at equipping other professionals to do that work inside their own organizations, through her Better Teams Academy and Forward community. On top of all her expertise, she's also highly personable and committed to excellence and integrity. I've known and worked with her for years, and hired her myself in recent years - and I highly recommend her to anyone who is seeking this kind of service and support.",5,Valid,leigh ann rodgers is the undisputed expert in team and individual performance shes excellent when shes personally delivering teambuilding workshops and when coaching individual employees midmanagers and executives and shes also amazing at equipping other professionals to do that work inside their own organizations through her better teams academy and forward community on top of all her expertise shes also highly personable and committed to excellence and integrity ive known and worked with her for years and hired her myself in recent years  and i highly recommend her to anyone who is seeking this kind of service and support,"['leigh', 'ann', 'rodgers', 'undisputed', 'expert', 'team', 'individual', 'performance', 's', 'excellent', 's', 'personally', 'delivering', 'teambuilding', 'workshops', 'coaching', 'individual', 'employees', 'midmanagers', 'executives', 's', 'amazing', 'equipping', 'professionals', 'work', 'inside', 'organizations', 'better', 'teams', 'academy', 'forward', 'community', 'expertise', 's', 'highly', 'personable', 'committed', 'excellence', 'integrity', 've', 'known', 'worked', 'years', 'hired', 'recent', 'years', ' ', 'highly', 'recommend', 'seeking', 'kind', 'service', 'support']",53,0.02,POSITIVE,89,admiration
Wanda Walker,"Leigh Ann Rodgers is a great collaborator and a stellar facilitator/consultant. She can adapt to new projects, work cultures and colleagues easily. The Better Teams Assessment is one of the best team building tools I've used in my consulting business.",5,Valid,leigh ann rodgers is a great collaborator and a stellar facilitatorconsultant she can adapt to new projects work cultures and colleagues easily the better teams assessment is one of the best team building tools ive used in my consulting business,"['leigh', 'ann', 'rodgers', 'great', 'collaborator', 'stellar', 'facilitatorconsultant', 'adapt', 'new', 'projects', 'work', 'cultures', 'colleagues', 'easily', 'better', 'teams', 'assessment', 'best', 'team', 'building', 'tools', 've', 'consulting', 'business']",24,0.0,POSITIVE,59,admiration
Heather Clarke,I really appreciate all the wisdom and experience Leigh Ann Rodgers has distilled and presented in the Team Consultant Academy course and the tools and network in Forward.  Great resource!,5,Valid,i really appreciate all the wisdom and experience leigh ann rodgers has distilled and presented in the team consultant academy course and the tools and network in forward  great resource,"['appreciate', 'wisdom', 'experience', 'leigh', 'ann', 'rodgers', 'distilled', 'presented', 'team', 'consultant', 'academy', 'course', 'tools', 'network', 'forward', ' ', 'great', 'resource']",18,0.03333333333333333,POSITIVE,54,"admiration, gratitude"
Cheryle Maurer,Leigh Ann’s masterful facilitation and engagement strategies bring teams together to produce results. Her experience and stories make her relatable and a joy to work with.,5,Valid,leigh anns masterful facilitation and engagement strategies bring teams together to produce results her experience and stories make her relatable and a joy to work with,"['leigh', 'anns', 'masterful', 'facilitation', 'engagement', 'strategies', 'bring', 'teams', 'produce', 'results', 'experience', 'stories', 'relatable', 'joy', 'work']",15,0.0,POSITIVE,52,admiration
Linda Howard,I strongly recommend Better Teams and Leigh Ann Rodgers for any organization looking for a strong facilitator to help improve the cohesiveness and collaboration of a team. I've worked with her directly and have seen how she brings energy and a positive outlook to those working with her.,5,Valid,i strongly recommend better teams and leigh ann rodgers for any organization looking for a strong facilitator to help improve the cohesiveness and collaboration of a team ive worked with her directly and have seen how she brings energy and a positive outlook to those working with her,"['strongly', 'recommend', 'better', 'teams', 'leigh', 'ann', 'rodgers', 'organization', 'looking', 'strong', 'facilitator', 'help', 'improve', 'cohesiveness', 'collaboration', 'team', 've', 'worked', 'directly', 'seen', 'brings', 'energy', 'positive', 'outlook', 'working']",25,0.020833333333333332,POSITIVE,63,none
Website Doctorz,Leigh Ann Rodgers is the best ever business consultant I talked with. Highly recommended.,5,Valid,leigh ann rodgers is the best ever business consultant i talked with highly recommended,"['leigh', 'ann', 'rodgers', 'best', 'business', 'consultant', 'talked', 'highly', 'recommended']",9,0.07142857142857142,POSITIVE,45,admiration
